customer_id,age,employment_status,education_level,annual_income,num_previous_loans,avg_payment_delay_days,credit_history_length,num_defaults,current_credit_score,loan_amount,loan_term_months,loan_purpose,collateral_present,default_flag
CUST000001,47,Employed,Master,63479,5,0,5,1,604,42777,12,Crypto-Backed,No,0
CUST000002,40,Student,Bachelor,66988,0,0,6,0,637,27745,24,Car Loan,Yes,0
CUST000003,49,Employed,Bachelor,107048,5,5,4,0,635,10203,60,Car Loan,No,0
CUST000004,60,Retired,Diploma,77942,1,32,4,0,647,12244,36,Crypto-Backed,Yes,0
CUST000005,39,Employed,High School,20000,5,18,2,0,684,37322,36,Education,No,0
CUST000006,39,Employed,Diploma,74368,7,2,6,0,742,16592,36,Home Loan,Yes,0
CUST000007,60,Student,Diploma,32262,0,4,8,1,661,47267,36,Crypto-Backed,No,0
CUST000008,51,Student,Diploma,37156,0,4,4,0,599,16041,48,Car Loan,Yes,0
CUST000009,36,Employed,Bachelor,80070,4,2,3,0,589,58156,36,Home Loan,No,1
CUST000010,48,Student,Diploma,20000,4,1,4,0,666,7342,12,Car Loan,No,0
CUST000011,36,Employed,High School,115414,6,3,3,0,627,20669,48,Home Loan,Yes,0
CUST000012,36,Self-Employed,Bachelor,73766,3,0,4,0,681,17993,36,Car Loan,No,0
CUST000013,44,Employed,High School,57922,2,11,4,0,590,90610,36,Business,No,1
CUST000014,19,Employed,High School,74378,2,2,4,1,610,11462,36,Crypto-Backed,Yes,1
CUST000015,21,Unemployed,Diploma,87050,1,1,2,1,630,18020,36,Home Loan,Yes,1
CUST000016,35,Employed,High School,54799,0,8,4,1,491,57242,36,Car Loan,No,0
CUST000017,29,Employed,PhD,72187,0,1,7,1,652,48261,36,Car Loan,Yes,1
CUST000018,45,Employed,Bachelor,30033,4,1,15,1,639,33058,36,Car Loan,No,1
CUST000019,31,Employed,Diploma,73568,3,0,1,0,602,55159,24,Home Loan,Yes,0
CUST000020,25,Self-Employed,High School,66426,3,3,2,0,651,48458,48,Education,No,0
CUST000021,59,Employed,Diploma,100670,5,5,3,0,612,22944,36,Education,Yes,0
CUST000022,39,Retired,Bachelor,53480,1,4,12,0,715,41321,60,Home Loan,No,0
CUST000023,42,Employed,PhD,57137,2,12,4,0,626,31179,36,Car Loan,Yes,0
CUST000024,24,Employed,Bachelor,30894,2,2,7,0,685,39476,48,Business,Yes,1
CUST000025,35,Employed,Bachelor,49007,4,5,9,0,683,45382,48,Education,No,0
CUST000026,43,Self-Employed,High School,66548,3,14,16,0,732,19494,60,Business,Yes,0
CUST000027,28,Employed,Bachelor,69775,0,2,7,0,657,10823,60,Education,No,0
CUST000028,46,Employed,Diploma,115447,9,1,2,0,617,8808,12,Business,No,0
CUST000029,34,Employed,High School,61743,2,0,5,0,677,44907,48,Business,No,0
CUST000030,38,Retired,Bachelor,46799,8,0,6,0,687,12090,36,Car Loan,Yes,0
CUST000031,34,Employed,Diploma,64752,2,2,10,0,760,13735,72,Car Loan,Yes,0
CUST000032,64,Retired,Bachelor,37096,4,6,2,0,664,3981,36,Education,Yes,0
CUST000033,41,Employed,Master,95085,4,1,4,0,675,17781,36,Crypto-Backed,Yes,0
CUST000034,29,Employed,Diploma,34656,1,23,2,2,514,7978,12,Education,No,1
CUST000035,51,Employed,Diploma,40031,1,4,2,0,641,31733,48,Car Loan,No,0
CUST000036,27,Employed,High School,28631,1,12,2,1,628,42573,24,Crypto-Backed,Yes,1
CUST000037,44,Employed,Diploma,51094,2,9,4,0,628,18714,60,Education,No,0
CUST000038,18,Student,Bachelor,67683,1,18,7,2,587,23417,24,Home Loan,No,1
CUST000039,26,Employed,Diploma,112042,1,4,1,0,630,49967,48,Crypto-Backed,Yes,0
CUST000040,44,Employed,Bachelor,47634,4,2,7,0,750,24877,48,Education,No,0
CUST000041,50,Employed,Bachelor,43817,0,0,2,1,634,17077,24,Business,Yes,0
CUST000042,44,Employed,High School,20000,0,11,3,2,520,21438,12,Car Loan,Yes,0
CUST000043,40,Employed,Bachelor,54806,0,7,1,0,620,17967,36,Crypto-Backed,Yes,0
CUST000044,38,Retired,Master,49701,5,21,2,0,651,28889,36,Business,Yes,0
CUST000045,24,Employed,High School,49409,4,2,10,1,649,25954,48,Car Loan,No,0
CUST000046,33,Unemployed,Bachelor,104078,5,0,8,1,617,50022,48,Business,Yes,1
CUST000047,36,Employed,Bachelor,64412,2,9,10,0,711,25746,48,Car Loan,No,0
CUST000048,54,Employed,Bachelor,39813,3,2,8,0,680,10449,60,Crypto-Backed,Yes,0
CUST000049,46,Employed,Diploma,31167,1,0,4,0,586,36240,36,Business,No,1
CUST000050,20,Employed,Master,27483,2,4,9,0,708,26803,24,Crypto-Backed,No,0
CUST000051,45,Employed,Bachelor,39230,5,13,10,1,708,57215,60,Home Loan,No,1
CUST000052,37,Employed,Diploma,59101,5,3,3,0,585,56994,72,Car Loan,No,1
CUST000053,33,Employed,Bachelor,20000,0,6,5,0,663,51584,36,Education,Yes,0
CUST000054,49,Retired,Master,45820,2,0,3,2,581,19287,36,Crypto-Backed,Yes,0
CUST000055,54,Employed,Master,73197,0,26,3,0,643,54755,72,Education,No,1
CUST000056,53,Unemployed,Master,29212,4,1,5,0,646,47327,36,Education,Yes,0
CUST000057,31,Employed,Diploma,44842,6,6,2,1,573,44320,48,Crypto-Backed,No,1
CUST000058,38,Retired,High School,29858,0,1,6,2,576,39169,48,Crypto-Backed,No,1
CUST000059,45,Employed,Bachelor,20000,8,7,2,1,583,24536,48,Crypto-Backed,No,1
CUST000060,53,Employed,High School,32853,1,0,14,0,706,11438,24,Car Loan,Yes,0
CUST000061,36,Student,Bachelor,28802,0,3,1,0,621,37787,48,Crypto-Backed,Yes,1
CUST000062,39,Employed,Diploma,72225,7,6,5,1,588,22752,12,Car Loan,No,1
CUST000063,28,Employed,Bachelor,62334,11,10,5,0,606,46763,36,Car Loan,No,1
CUST000064,27,Employed,Bachelor,29117,5,21,7,1,650,8764,48,Business,Yes,0
CUST000065,51,Employed,Bachelor,93556,2,3,6,0,632,54884,36,Car Loan,Yes,0
CUST000066,58,Student,Diploma,70446,0,10,4,0,665,8919,48,Business,No,0
CUST000067,41,Retired,Master,43121,4,5,4,0,642,10405,60,Education,No,0
CUST000068,54,Retired,Bachelor,57816,2,5,10,0,711,12987,36,Car Loan,No,0
CUST000069,46,Student,Bachelor,30555,0,2,12,1,664,23903,24,Home Loan,Yes,1
CUST000070,34,Employed,Bachelor,20000,1,9,10,2,560,37085,72,Crypto-Backed,Yes,1
CUST000071,46,Employed,Diploma,51299,1,7,6,1,618,21200,12,Education,No,1
CUST000072,60,Unemployed,Diploma,24783,2,11,7,0,699,7198,48,Home Loan,Yes,1
CUST000073,41,Employed,High School,43764,1,19,3,0,609,37176,60,Business,Yes,0
CUST000074,60,Employed,Master,60204,4,7,5,0,628,5528,36,Car Loan,Yes,0
CUST000075,18,Employed,Diploma,20000,1,3,8,0,682,35006,48,Car Loan,Yes,0
